latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-9.0671,160.31642,329.3,0.51,0.41,2021-03-09,03:00,N,nominal,1.0NRT,287.2,4.1,D
-3.92706,136.43961,330.2,0.5,0.49,2021-03-09,04:42,N,nominal,1.0NRT,291.5,3.2,D
-3.92642,136.43707,328,0.5,0.49,2021-03-09,04:42,N,nominal,1.0NRT,290.9,5.1,D
10.95788,123.1398,335.7,0.46,0.39,2021-03-09,04:48,N,nominal,1.0NRT,299.3,5,D
10.43229,119.27432,339.4,0.54,0.51,2021-03-09,04:48,N,nominal,1.0NRT,293.2,4.7,D
10.43778,119.27847,333.1,0.54,0.51,2021-03-09,04:48,N,nominal,1.0NRT,293.1,12.1,D
10.43698,119.27382,338.8,0.54,0.51,2021-03-09,04:48,N,nominal,1.0NRT,293.2,11.4,D
10.43556,119.276,351.9,0.54,0.51,2021-03-09,04:48,N,nominal,1.0NRT,294.6,27,D
12.74253,121.12926,348.4,0.56,0.43,2021-03-09,04:48,N,nominal,1.0NRT,297.2,11.2,D
12.87598,120.9676,337.4,0.38,0.43,2021-03-09,04:48,N,nominal,1.0NRT,284.2,4.1,D
12.99324,120.86758,329.7,0.39,0.44,2021-03-09,04:48,N,nominal,1.0NRT,287.6,3.1,D
13.59737,123.45779,327.6,0.42,0.38,2021-03-09,04:48,N,low,1.0NRT,302.1,3.2,D
15.02402,120.53671,329.9,0.56,0.43,2021-03-09,04:48,N,low,1.0NRT,300.5,5.5,D
15.07678,120.67644,334.4,0.55,0.43,2021-03-09,04:48,N,nominal,1.0NRT,298.3,2.3,D
15.00657,120.24988,333.6,0.39,0.44,2021-03-09,04:48,N,nominal,1.0NRT,294,4,D
15.08446,120.62744,329.3,0.56,0.43,2021-03-09,04:48,N,nominal,1.0NRT,298.1,2.1,D
15.10152,120.65613,329.4,0.55,0.43,2021-03-09,04:48,N,nominal,1.0NRT,299.4,2.6,D
15.05726,120.39917,340.3,0.38,0.43,2021-03-09,04:48,N,nominal,1.0NRT,294.5,6.5,D
15.05664,120.39558,340.6,0.38,0.43,2021-03-09,04:48,N,nominal,1.0NRT,293.1,5.3,D
15.08025,120.43749,348.2,0.57,0.43,2021-03-09,04:48,N,nominal,1.0NRT,294.1,7.8,D
15.08174,120.43554,330.1,0.57,0.43,2021-03-09,04:48,N,nominal,1.0NRT,292.2,7.2,D
15.07185,120.28791,339.3,0.39,0.44,2021-03-09,04:48,N,nominal,1.0NRT,294.3,5.7,D
15.07121,120.2843,336.8,0.39,0.44,2021-03-09,04:48,N,nominal,1.0NRT,294,5.7,D
15.07589,120.28734,335.6,0.39,0.44,2021-03-09,04:48,N,nominal,1.0NRT,293,5.7,D
9.34466,118.39699,336.5,0.32,0.55,2021-03-09,04:48,N,nominal,1.0NRT,290.5,2.6,D
15.15977,120.07695,331.8,0.4,0.44,2021-03-09,04:48,N,nominal,1.0NRT,300.1,3.3,D
15.19315,120.19463,342,0.39,0.44,2021-03-09,04:48,N,nominal,1.0NRT,295.5,5.1,D
15.21726,120.07098,332.1,0.4,0.44,2021-03-09,04:48,N,nominal,1.0NRT,298.6,2.3,D
15.31877,120.5638,334.5,0.56,0.43,2021-03-09,04:48,N,nominal,1.0NRT,294.2,7.3,D
15.29638,120.25925,356.1,0.39,0.44,2021-03-09,04:48,N,nominal,1.0NRT,300,10.3,D
15.53607,120.50063,337.2,0.56,0.43,2021-03-09,04:48,N,nominal,1.0NRT,301.6,4.2,D
15.58534,120.29389,345,0.57,0.43,2021-03-09,04:48,N,nominal,1.0NRT,296.2,10.6,D
15.58807,120.29645,334.5,0.57,0.43,2021-03-09,04:48,N,nominal,1.0NRT,295.5,17.8,D
15.61026,120.28309,330.8,0.57,0.43,2021-03-09,04:48,N,nominal,1.0NRT,294.5,2.7,D
15.8124,121.05341,338.1,0.51,0.41,2021-03-09,04:48,N,nominal,1.0NRT,299.3,3.3,D
15.7638,120.37729,337.4,0.56,0.43,2021-03-09,04:48,N,nominal,1.0NRT,302.5,9.8,D
15.91222,121.09539,346.9,0.51,0.41,2021-03-09,04:48,N,nominal,1.0NRT,300.6,5.5,D
15.91599,121.09469,336.2,0.51,0.41,2021-03-09,04:48,N,nominal,1.0NRT,300.4,5.5,D
15.9152,121.09007,343.1,0.51,0.41,2021-03-09,04:48,N,nominal,1.0NRT,300.3,5.5,D
15.91897,121.08939,330.4,0.51,0.41,2021-03-09,04:48,N,nominal,1.0NRT,300.2,5.5,D
15.91819,121.08482,347.2,0.51,0.41,2021-03-09,04:48,N,nominal,1.0NRT,301.9,20.5,D
15.9174,121.08022,330.6,0.51,0.41,2021-03-09,04:48,N,low,1.0NRT,301.5,20.5,D
16.07761,121.42843,336.9,0.49,0.4,2021-03-09,04:48,N,nominal,1.0NRT,297.7,5,D
15.92503,120.51555,347.7,0.55,0.43,2021-03-09,04:48,N,nominal,1.0NRT,302.8,9.7,D
15.95885,119.94784,330.5,0.39,0.44,2021-03-09,04:48,N,low,1.0NRT,305.4,3,D
15.07524,120.2837,338,0.39,0.44,2021-03-09,04:48,N,nominal,1.0NRT,292.9,5.7,D
9.48195,118.44462,329.7,0.63,0.54,2021-03-09,04:48,N,nominal,1.0NRT,290.6,5.7,D
9.48968,118.45917,338.8,0.63,0.54,2021-03-09,04:48,N,nominal,1.0NRT,292,9.9,D
-3.55451,126.46237,334.1,0.46,0.39,2021-03-09,04:48,N,low,1.0NRT,299.3,8.7,D
